trial,phase,wall_s,ok,target_req_per_s,reliable,warnings,moe_runner_backend,attention_backend,disable_cuda_graph,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,R_short_decode_rps,R_medium_balanced_rps,R_long_prefill_rps,R_concurrent_decode_rps,R_prompt_8k_c4_out128_rps,R_prompt_16k_c2_out128_rps,R_prompt_32k_c1_out128_rps,R_prompt_50k_c1_out64_rps,R_short_decode_mfu,R_medium_balanced_mfu,R_long_prefill_mfu,R_concurrent_decode_mfu,R_prompt_8k_c4_out128_mfu,R_prompt_16k_c2_out128_mfu,R_prompt_32k_c1_out128_mfu,R_prompt_50k_c1_out64_mfu,spec_hash,server_startup_s
0,warm-start,71.0,True,23.323,True,,auto,fa3,False,32,-1,lpm,0.9,1.6868,7.3152,13.534,23.323,5.2804,2.6745,1.6117,1.2394,0.14,0.606,0.14,1.932,0.219,0.111,0.067,0.026,sha256:99fc4c7972cc18f63f8cb1dc04a16cb61329420fde1df48ce730416573d971ad,25.1
1,warm-start,70.7,True,23.7453,True,,triton,fa3,False,32,-1,lpm,0.9,1.6904,7.308,13.4176,23.7453,5.2859,2.6817,1.6363,1.2732,0.14,0.605,0.139,1.967,0.219,0.111,0.068,0.026,sha256:3479412cac733c39f49f7c1473943574f2d937e41106ae6c8f9e05747973f847,25.1
2,warm-start,77.5,True,22.3297,True,,flashinfer_cutlass,fa3,False,32,-1,lpm,0.9,1.642,7.0879,9.2551,22.3297,4.0104,2.0001,1.3336,0.9669,0.136,0.587,0.096,1.85,0.166,0.083,0.055,0.02,sha256:009daa8d7d51aaf430071e0439a8339c4d310d9daf215e61b440f0329268f47e,25.1
3,warm-start,70.8,True,23.7156,True,,auto,fa3,False,32,-1,fcfs,0.9,1.6896,7.3372,13.1018,23.7156,5.2652,2.6906,1.593,1.2775,0.14,0.608,0.136,1.964,0.218,0.111,0.066,0.026,sha256:b639b0fd81be3442fa4e49c8df45b6095fa69c224a6baaab8440378485b00f0b,25.1
4,tpe,70.7,True,23.7529,True,,auto,fa3,False,32,-1,fcfs,0.9,1.6874,7.3017,13.3987,23.7529,5.3336,2.7094,1.6336,1.2729,0.14,0.605,0.139,1.967,0.221,0.112,0.068,0.026,sha256:01ea5db0fdc57787614b13e5a90ebdd94399752e8c3371a40dee3c8661521a31,25.1
5,tpe,67.3,True,23.1118,True,,triton,fa3,False,64,2048,fcfs,0.9,1.6898,6.7923,20.3567,23.1118,7.6186,4.4555,2.3222,2.9584,0.14,0.563,0.211,1.914,0.316,0.185,0.096,0.061,sha256:52fe71b9cf61d081223e4bda75c0aabded0867a327ee61d0677af23037f5d7db,25.1
6,tpe,70.4,True,23.7443,True,,triton,fa3,False,64,-1,lpm,0.9,1.6921,7.3189,13.4869,23.7443,5.3326,2.7191,1.653,1.3064,0.14,0.606,0.14,1.967,0.221,0.113,0.068,0.027,sha256:1c465a8e46f350604dd59901cc2eaad9ec7660114af78b0c9c7de6fd3c82f276,25.1
7,tpe,66.6,True,23.7438,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,32,8192,lpm,0.75,1.6886,7.2904,16.2034,23.7438,7.2165,4.0414,2.2892,2.7574,0.14,0.604,0.168,1.967,0.299,0.167,0.095,0.057,sha256:2285f5dcb103d3dff8273c3ff41b506de4ec42ce4c3f3b9abc8246469d0f5d6c,25.1
8,tpe,79.9,True,13.6236,True,,flashinfer_cutlass,fa3,False,16,-1,lpm,0.9,1.6452,7.0946,9.2833,13.6236,4.0068,2.0277,1.3554,0.9741,0.136,0.588,0.096,1.128,0.166,0.084,0.056,0.02,sha256:5a842f0662dea317b79e93b896ec7a5fd4aea6b56140a9ffd50cb83d35238e68,25.1
9,tpe,80.1,True,22.3866,True,,flashinfer_cutlass,fa3,False,64,-1,lpm,0.9,1.6761,7.094,9.2863,22.3866,4.0067,2.002,1.3256,0.9641,0.139,0.588,0.096,1.854,0.166,0.083,0.055,0.02,sha256:696659ff512337df15dc3d3cad97d7e24d7eddbba4bceca715625ab7c57b9bec,28.1
10,tpe,265.0,True,1.8127,True,,auto,fa3,True,8,2048,fcfs,0.85,0.2313,1.7784,6.0869,1.8127,1.7101,0.8684,0.4447,0.7979,0.019,0.147,0.063,0.15,0.071,0.036,0.018,0.017,sha256:17d570f133d21957915cdfaf1a613fea5d5137b1490fedb34a7b81576e5550ab,25.1
11,tpe,232.1,True,6.8258,True,,triton,fa3,True,32,8192,fcfs,0.75,0.2259,1.714,5.2358,6.8258,1.6614,0.8302,0.4222,0.7523,0.019,0.142,0.054,0.565,0.069,0.034,0.017,0.016,sha256:bc9c0556a9f197e6a9d5c2275c6cc96c97bd2bb3cf7f9617349e9f9749b2cdc1,25.1
12,tpe,255.7,True,3.4637,True,,triton,fa3,True,16,-1,fcfs,0.85,0.2158,1.6793,5.1826,3.4637,1.4914,0.7365,0.3937,0.5728,0.018,0.139,0.054,0.287,0.062,0.031,0.016,0.012,sha256:42cbf8e7e8464be8ba286871f1035471a496c07cabbffbd9385c8cdc7a9882d8,25.1
13,tpe,74.1,True,8.4559,True,,auto,fa3,False,8,2048,fcfs,0.9,1.6969,7.2839,18.8322,8.4559,7.745,4.4757,2.4048,2.8912,0.141,0.603,0.195,0.7,0.321,0.185,0.1,0.06,sha256:89e2a002a4a1202cbad60854b01f64940df033c64031e5e827aa40493eb11dbc,25.1
14,tpe,232.8,True,6.9415,True,,triton,fa3,True,32,-1,lpm,0.85,0.2254,1.7525,5.3853,6.9415,1.5637,0.7652,0.4052,0.5988,0.019,0.145,0.056,0.575,0.065,0.032,0.017,0.012,sha256:4c354dfc5ed2c5ad52c961dd5e885c3b0a55f504ab3c44ce72a8abd654454385,25.1
15,tpe,66.3,True,23.7933,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,32,8192,fcfs,0.75,1.6882,7.3218,16.2592,23.7933,7.3497,4.1407,2.4094,2.8422,0.14,0.606,0.168,1.971,0.304,0.171,0.1,0.059,sha256:854fe1cd44d717c389c19238c07d91c855709c655fc73d4aad77c84844adb120,25.1
16,tpe,66.0,True,23.7538,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,32,8192,fcfs,0.75,1.69,7.3377,16.4987,23.7538,7.24,4.3077,2.4136,2.8421,0.14,0.608,0.171,1.968,0.3,0.178,0.1,0.059,sha256:03bcded3a136ab8efdb7b7727bb9118f12b7b7d158dd486dc40a8dccb1f53f23,25.1
17,tpe,69.1,True,14.2188,True,,auto,fa3,False,16,8192,fcfs,0.75,1.6917,7.3025,13.5683,14.2188,7.2907,4.1269,2.384,2.8609,0.14,0.605,0.14,1.178,0.302,0.171,0.099,0.059,sha256:dceac9f00cc858d3b71c50bb66d0e3b64f5a8c31145557bde7b73061b99868af,25.1
18,tpe,271.9,True,1.756,True,,auto,fa3,True,8,8192,fcfs,0.75,0.2237,1.7823,5.3293,1.756,1.6493,0.8358,0.4318,0.775,0.019,0.148,0.055,0.145,0.068,0.035,0.018,0.016,sha256:9ba6adfe8be18bd9dcce2a2b62c831e19b695d2066870add0ddc05cfa7a62af6,25.1
19,tpe,66.6,True,23.8966,True,,auto,fa3,False,32,8192,fcfs,0.75,1.6852,7.3072,14.7696,23.8966,7.2281,4.1228,2.338,2.7618,0.14,0.605,0.153,1.979,0.299,0.171,0.097,0.057,sha256:7ebb69cdbff920da17736f1f6e8e487cce267eb4e7602d8a84968525f92c2a10,25.1
20,tpe,67.0,True,23.7044,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,32,8192,fcfs,0.75,1.6887,7.3056,15.9776,23.7044,7.1126,4.0455,2.3325,2.7944,0.14,0.605,0.165,1.963,0.295,0.168,0.097,0.058,sha256:cf9abce1e7d658f71c8cabf035dba0947cd7fbde0e1d575e98cd0127c3c709bc,25.1
21,tpe,66.5,True,23.6391,True,,auto,fa3,False,32,8192,fcfs,0.75,1.6875,7.3221,14.6033,23.6391,7.1089,4.2193,2.297,2.7311,0.14,0.606,0.151,1.958,0.294,0.175,0.095,0.057,sha256:adf2ec7132b23db50028281dbfea63e5a6561250b5181c0315e0022fd84a1e66,25.1
22,tpe,67.6,True,23.7434,True,,auto,fa3,False,32,8192,fcfs,0.75,1.6977,7.31,14.268,23.7434,7.141,4.2181,2.4327,2.8757,0.141,0.605,0.148,1.967,0.296,0.175,0.101,0.06,sha256:cc5e0f0af38071390170697a4e11f397a84f8c5f1bee0e507767d7c9c2537387,25.1
23,tpe,66.2,True,23.7715,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,32,8192,fcfs,0.75,1.6888,7.3064,15.9113,23.7715,7.1952,4.2204,2.4296,2.8446,0.14,0.605,0.165,1.969,0.298,0.175,0.101,0.059,sha256:d0fe7dbfe928c37e32bab4bc27eb32d0bfb40a342cf415b8b252c6208076e0b5,25.1
24,tpe,66.1,True,23.7061,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,32,8192,fcfs,0.75,1.6892,7.3413,16.5552,23.7061,7.304,4.1377,2.4381,2.8812,0.14,0.608,0.171,1.964,0.303,0.171,0.101,0.06,sha256:51fbde1f166defb2801382bd68dd1d5edc43c07dc328cc1fe2e824826a5b7099,25.1
25,tpe,69.7,True,22.1264,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),flashinfer_cutlass,fa3,False,32,8192,fcfs,0.75,1.6483,7.1275,12.0369,22.1264,6.5894,3.6778,2.3406,2.6513,0.137,0.59,0.125,1.833,0.273,0.152,0.097,0.055,sha256:ba111208b4753fda22c1c35bc0d8c1a995c60bb761c5b5273935a02e0c613925,25.1
26,tpe,234.9,True,3.6037,True,,auto,fa3,True,16,8192,fcfs,0.75,0.2337,1.7927,5.2719,3.6037,1.689,0.849,0.448,0.7842,0.019,0.148,0.055,0.298,0.07,0.035,0.019,0.016,sha256:b0d4ebf4494314ed3ed15679f612e26a5399e28fbc11d040ad88416245a07387,22.1
27,tpe,73.4,True,8.4692,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,8,8192,fcfs,0.75,1.6943,7.3175,16.3214,8.4692,7.3337,4.1565,2.3891,2.9124,0.14,0.606,0.169,0.702,0.304,0.172,0.099,0.06,sha256:ba27e17c7440e3bee2e80fafbcf87fd4010f6b48e9d86123f4b5f4eb743e7d47,25.1
28,tpe,66.1,True,23.8114,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,64,8192,fcfs,0.75,1.6894,7.3157,16.5439,23.8114,7.2844,4.0833,2.442,2.8554,0.14,0.606,0.171,1.972,0.302,0.169,0.101,0.059,sha256:f9e0c7050bd9d9ca40c653e18e1f0eda42c634782054f582038a0f1db570ce2c,25.1
29,tpe,66.6,True,23.1537,True,,auto,fa3,False,64,2048,fcfs,0.85,1.6916,7.3913,20.1849,23.1537,7.7648,4.5716,2.3847,3.0522,0.14,0.612,0.209,1.918,0.322,0.189,0.099,0.063,sha256:fae7b9fd8776ba6ce5d211b2be57692044c0d2d7869c893cab7816ef29334a09,25.1
